;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR
CONTA;Custo de Bens e/ou Serviços Vendidos;Deduções da Receita Bruta;Despesas;Despesas Com Vendas;Despesas Financeiras;Despesas Gerais e Administrativas;Despesas Tributárias;Despesas da Intermediação Financeira;Despesas de Pessoal;Financeiras;IR Diferido;Lucro/Prejuízo do Período;Outras Despesas Administrativas;Outras Despesas Operacionais;Outras Despesas/Receitas Operacionais;Outras Receitas Operacionais;Part. de Acionistas Não Controladores;Participações/Contribuições Estatutárias;Perdas pela Não Recuperabilidade de Ativos ;Provisão para IR e Contribuição Social;Receita Bruta de Vendas e/ou Serviços;Receita Líquida de Vendas e/ou Serviços;Receitas;Receitas Financeiras;Receitas da Intermediação Financeira;Receitas de Prestação de Serviços;Resultado Antes Tributação/Participações;Resultado Bruto;Resultado Bruto Intermediação Financeira;Resultado Não Operacional;Resultado Operacional;Resultado da Equivalência Patrimonial;Reversão dos Juros sobre Capital Próprio
Unnamed: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
109;;;;;;;;;;;;108,525;;;;;;;;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;;;;;;;;;;;;700,031;;;;;;;;
111;;;;;;;;-550,964;;;;;;;;;;;;;;;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149,067;;;;
113;;;;;;;;;;;;;;;-13,219;;;;;;;;;;;;;;;;;;
114;;;;;;;;;;;;;;;;;;;;;;;;;;66,005;;;;;;;
115;;;;;;;;;-45,261;;;;;;;;;;;;;;;;;;;;;;;;
116;;;;;;;;;;;;;-25,992;;;;;;;;;;;;;;;;;;;;
117;;;;;;;-12,855;;;;;;;;;;;;;;;;;;;;;;;;;;
118;;;;;;;;;;;;;;;;14,712;;;;;;;;;;;;;;;;;
119;;;;;;;;;;;;;;-13,568;;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,74;
121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135,848;;
122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,51;;;
123;;;;;;;;;;;;;;;;;;;;;;;248;;;;;;;;;;
124;;;-1,758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;;;;;;;;;;;;;;;;;;;;;;;;;;;134,338;;;;;;
126;;;;;;;;;;;;;;;;;;;;-6,577;;;;;;;;;;;;;
127;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
128;;;;;;;;;;;;;;;;;;-24,974;;;;;;;;;;;;;;;
129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
130;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
131;;;;;;;;;;;;102,787;;;;;;;;;;;;;;;;;;;;;
132;;;;;;;;;;;;;;;;;;;;;;;;;285,921;;;;;;;;
133;;;;;;;;67,595;;;;;;;;;;;;;;;;;;;;;;;;;
134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353,516;;;;
135;;;;;;;;;;;;;;;-125,498;;;;;;;;;;;;;;;;;;
136;;;;;;;;;;;;;;;;;;;;;;;;;;64,914;;;;;;;
137;;;;;;;;;-43,989;;;;;;;;;;;;;;;;;;;;;;;;
138;;;;;;;;;;;;;-25,468;;;;;;;;;;;;;;;;;;;;
139;;;;;;;-14,38;;;;;;;;;;;;;;;;;;;;;;;;;;
140;;;;;;;;;;;;;;;;3,694;;;;;;;;;;;;;;;;;
141;;;;;;;;;;;;;;-113,743;;;;;;;;;;;;;;;;;;;
142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,474;
143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;228,018;;
144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-306;;;
145;;;;;;;;;;;;;;;;;;;;;;;929;;;;;;;;;;
146;;;-1,235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;;;;;;;;;;;;;;;;;;;;;;;;;;;227,712;;;;;;
148;;;;;;;;;;;;;;;;;;;;-96,95;;;;;;;;;;;;;
149;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
150;;;;;;;;;;;;;;;;;;-26,666;;;;;;;;;;;;;;;
151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
152;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
153;;;;;;;;;;;;104,096;;;;;;;;;;;;;;;;;;;;;
154;;;;;;;;;;;;;;;;;;;;;;;;;353,955;;;;;;;;
155;;;;;;;;-20,709;;;;;;;;;;;;;;;;;;;;;;;;;
156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333,246;;;;
157;;;;;;;;;;;;;;;-119,158;;;;;;;;;;;;;;;;;;
158;;;;;;;;;;;;;;;;;;;;;;;;;;56,107;;;;;;;
159;;;;;;;;;-53,14;;;;;;;;;;;;;;;;;;;;;;;;
160;;;;;;;;;;;;;-23,989;;;;;;;;;;;;;;;;;;;;
161;;;;;;;-8,158;;;;;;;;;;;;;;;;;;;;;;;;;;
162;;;;;;;;;;;;;;;;9,783;;;;;;;;;;;;;;;;;
163;;;;;;;;;;;;;;-103,092;;;;;;;;;;;;;;;;;;;
164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,331;
165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;214,088;;
166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7,88;;;
167;;;;;;;;;;;;;;;;;;;;;;;1,173;;;;;;;;;;
168;;;-9,053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;;;;;;;;;;;;;;;;;;;;;;;;;;;206,208;;;;;;
170;;;;;;;;;;;;;;;;;;;;-89,526;;;;;;;;;;;;;
171;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
172;;;;;;;;;;;;;;;;;;-25,533;;;;;;;;;;;;;;;
173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
174;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;91,149;;;;;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;;;;;;;;;;;;;;527,968;;;;;;;;
177;;;;;;;;-309,728;;;;;;;;;;;;;;;;;;;;;;;;;
178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;218,24;;;;
179;;;;;;;;;;;;;;;-57,678;;;;;;;;;;;;;;;;;;
180;;;;;;;;;;;;;;;;;;;;;;;;;;58,227;;;;;;;
181;;;;;;;;;-45,385;;;;;;;;;;;;;;;;;;;;;;;;
182;;;;;;;;;;;;;-24,598;;;;;;;;;;;;;;;;;;;;
183;;;;;;;-12,72;;;;;;;;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;;;-42,844;;;;;;;;;;;;;;;;;
185;;;;;;;;;;;;;;6,506;;;;;;;;;;;;;;;;;;;
186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,136;
187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160,562;;
188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245;;;
189;;;;;;;;;;;;;;;;;;;;;;;-1,843;;;;;;;;;;
190;;;8,318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;;;;;;;;;;;;;;;;;;;;;;;;;;;160,807;;;;;;
192;;;;;;;;;;;;;;;;;;;;-26,312;;;;;;;;;;;;;
193;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
194;;;;;;;;;;;;;;;;;;-28,981;;;;;;;;;;;;;;;
195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
196;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
197;;;;;;;;;;;;105,514;;;;;;;;;;;;;;;;;;;;;
198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-270,356;;;;
201;;;;;;;;;;;;;;;205,447;;;;;;;;;;;;;;;;;;
202;;;;;;;;;;;;;;;;;;;;;;;;;;45,081;;;;;;;
203;;;;;;;;;-46,581;;;;;;;;;;;;;;;;;;;;;;;;
204;;;;;;;;;;;;;-23,142;;;;;;;;;;;;;;;;;;;;
205;;;;;;;-5,523;;;;;;;;;;;;;;;;;;;;;;;;;;
206;;;;;;;;;;;;;;;;237,413;;;;;;;;;;;;;;;;;
207;;;;;;;;;;;;;;-5,577;;;;;;;;;;;;;;;;;;;
208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,776;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-64,909;;
210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,874;;;
211;;;;;;;;;;;;;;;;;;;;;;;452;;;;;;;;;;
212;;;-3,326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;;;;;;;;;;;;;;;;;;;;;;;;;;;-67,783;;;;;;
214;;;;;;;;;;;;;;;;;;;;186,448;;;;;;;;;;;;;
215;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
216;;;;;;;;;;;;;;;;;;-23,624;;;;;;;;;;;;;;;
217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
218;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
219;;;;;;;;;;;;95,041;;;;;;;;;;;;;;;;;;;;;
220;;;;;;;;;;;;;;;;;;;;;;;;;400,245;;;;;;;;
221;;;;;;;;-197,143;;;;;;;;;;;;;;;;;;;;;;;;;
222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203,102;;;;
223;;;;;;;;;;;;;;;-57,802;;;;;;;;;;;;;;;;;;
224;;;;;;;;;;;;;;;;;;;;;;;;;;50,454;;;;;;;
225;;;;;;;;;-42,367;;;;;;;;;;;;;;;;;;;;;;;;
226;;;;;;;;;;;;;-22,675;;;;;;;;;;;;;;;;;;;;
227;;;;;;;-13,738;;;;;;;;;;;;;;;;;;;;;;;;;;
228;;;;;;;;;;;;;;;;3,193;;;;;;;;;;;;;;;;;
229;;;;;;;;;;;;;;-35,754;;;;;;;;;;;;;;;;;;;
230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,085;
231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145,3;;
232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,83;;;
233;;;;;;;;;;;;;;;;;;;;;;;1,276;;;;;;;;;;
234;;;-4,106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;;;;;;;;;;;;;;;;;;;;;;;;;;;142,47;;;;;;
236;;;;;;;;;;;;;;;;;;;;-26,73;;;;;;;;;;;;;
237;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
238;;;;;;;;;;;;;;;;;;-25,639;;;;;;;;;;;;;;;
239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
240;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
241;;;;;;;;;;;;90,101;;;;;;;;;;;;;;;;;;;;;
242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-84,034;;;;
245;;;;;;;;;;;;;;;114,646;;;;;;;;;;;;;;;;;;
246;;;;;;;;;;;;;;;;;;;;;;;;;;45,324;;;;;;;
247;;;;;;;;;-40,207;;;;;;;;;;;;;;;;;;;;;;;;
248;;;;;;;;;;;;;-23,128;;;;;;;;;;;;;;;;;;;;
249;;;;;;;-5,116;;;;;;;;;;;;;;;;;;;;;;;;;;
250;;;;;;;;;;;;;;;;141,513;;;;;;;;;;;;;;;;;
251;;;;;;;;;;;;;;-6,555;;;;;;;;;;;;;;;;;;;
252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,815;
253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,612;;
254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-771;;;
255;;;;;;;;;;;;;;;;;;;;;;;115;;;;;;;;;;
256;;;-886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;;;;;;;;;;;;;;;;;;;;;;;;;;;29,841;;;;;;
258;;;;;;;;;;;;;;;;;;;;73,367;;;;;;;;;;;;;
259;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
260;;;;;;;;;;;;;;;;;;-22,953;;;;;;;;;;;;;;;
261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
262;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
263;;;;;;;;;;;;80,255;;;;;;;;;;;;;;;;;;;;;
264;;;;;;;;;;;;;;;;;;;;;;;;;687,092;;;;;;;;
265;;;;;;;;-625,492;;;;;;;;;;;;;;;;;;;;;;;;;
266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,6;;;;
267;;;;;;;;;;;;;;;21,798;;;;;;;;;;;;;;;;;;
268;;;;;;;;;;;;;;;;;;;;;;;;;;49,55;;;;;;;
269;;;;;;;;;-41,295;;;;;;;;;;;;;;;;;;;;;;;;
270;;;;;;;;;;;;;-24,176;;;;;;;;;;;;;;;;;;;;
271;;;;;;;-8,922;;;;;;;;;;;;;;;;;;;;;;;;;;
272;;;;;;;;;;;;;;;;15,149;;;;;;;;;;;;;;;;;
273;;;;;;;;;;;;;;28,527;;;;;;;;;;;;;;;;;;;
274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,965;
275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83,398;;
276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-457;;;
277;;;;;;;;;;;;;;;;;;;;;;;-3,408;;;;;;;;;;
278;;;5,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;;;;;;;;;;;;;;;;;;;;;;;;;;;82,941;;;;;;
280;;;;;;;;;;;;;;;;;;;;22,35;;;;;;;;;;;;;
281;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
282;;;;;;;;;;;;;;;;;;-24,494;;;;;;;;;;;;;;;
283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
284;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
285;;;;;;;;;;;;80,797;;;;;;;;;;;;;;;;;;;;;
286;;;;;;;;;;;;;;;;;;;;;;;;;659,593;;;;;;;;
287;;;;;;;;-607,019;;;;;;;;;;;;;;;;;;;;;;;;;
288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,574;;;;
289;;;;;;;;;;;;;;;33,141;;;;;;;;;;;;;;;;;;
290;;;;;;;;;;;;;;;;;;;;;;;;;;44,658;;;;;;;
291;;;;;;;;;-37,368;;;;;;;;;;;;;;;;;;;;;;;;
292;;;;;;;;;;;;;-22,288;;;;;;;;;;;;;;;;;;;;
293;;;;;;;-8,498;;;;;;;;;;;;;;;;;;;;;;;;;;
294;;;;;;;;;;;;;;;;66,83;;;;;;;;;;;;;;;;;
295;;;;;;;;;;;;;;-13,07;;;;;;;;;;;;;;;;;;;
296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,877;
297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85,715;;
298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;489;;;
299;;;;;;;;;;;;;;;;;;;;;;;2,782;;;;;;;;;;
300;;;-2,293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;;;;;;;;;;;;;;;;;;;;;;;;;;;86,204;;;;;;
302;;;;;;;;;;;;;;;;;;;;14,838;;;;;;;;;;;;;
303;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
304;;;;;;;;;;;;;;;;;;-23,096;;;;;;;;;;;;;;;
305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
306;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
307;;;;;;;;;;;;77,946;;;;;;;;;;;;;;;;;;;;;
308;;;;;;;;;;;;;;;;;;;;;;;;;357,732;;;;;;;;
309;;;;;;;;-186,797;;;;;;;;;;;;;;;;;;;;;;;;;
310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170,935;;;;
311;;;;;;;;;;;;;;;-36,631;;;;;;;;;;;;;;;;;;
312;;;;;;;;;;;;;;;;;;;;;;;;;;41,874;;;;;;;
313;;;;;;;;;-37,353;;;;;;;;;;;;;;;;;;;;;;;;
314;;;;;;;;;;;;;-19,67;;;;;;;;;;;;;;;;;;;;
